Num,Tag
243,058001f69757
244,058001e149bd
245,058001851047
246,058001db5cad
247,0580023518ce
248,05800323b4a9
249,058002e4e8d9
250,058001f6cca8
251,058002e496e0
252,058001e124f9
253,058002e4fbda
254,058002f5c9bb
255,05800235ba06
256,0580027df59f
257,058002352b16
258,058002354d46
259,05800300fe8d
260,058001e12177
261,058003014345
262,05800314c502
263,058002aa9fae
264,0580022143d4
265,058001db490f
266,058002aa8782
267,05800313cbfe
268,058002a2f864
269,058002bc7226
270,05800322e270
271,058001e19850
272,058001c70f40
273,058002e51086
274,0580027d67c5
275,058003009a1f
276,058002fbdf14
277,058002bc36c7
278,058001e2dbbd
279,058001621e4a
280,058001601b10
281,0580032348fe
282,058001f542dc
283,058001e1069d
284,05800183be21
285,058001f6ad88
286,0580018070b1
287,05800322a819
288,0580016202b9
289,0580015502b4
290,0580024f7571
291,05800184db64
292,05800184c450
293,058002e4d35d
294,058001f736c2
295,058001550df7
296,058001c730bf
297,05800323ace1
298,0580024000db
299,058001f6e50a
300,05800300b64c
301,058001c74387
302,05800184f41f
303,05800220dfc0
304,058001c548be
305,0580027de135
306,05800160e52a
307,0580027d1837
308,0580015ff45c
309,0580027db214
310,058003137f07
311,058001f72e94
312,058002e5213d
313,0580027de042
314,058001f6cfc0
315,058002352f8e
316,058001db28d5
317,058001c5e312
318,05800322d87b
319,058001c62440
320,058001db375f
321,058002e4182b
322,0580031498fd
323,05800323398e
324,05800323999a
325,05800313d43b
326,058002bc8e7f
327,0580027cf82c
328,058003238a9d
329,05800323047c
330,0580027e12d9
331,0580027da919
332,058001c18064
333,058001b2e5fd
334,0580027de66e
335,058001dbd295
336,0580027ddd26
337,058001611437
338,058002bbf85f
339,058002a34de9
340,058001e1068f
341,0580027dd6cf
342,05800161deff
343,05800322aafe
344,05800160ed79
345,05800161e6d9
346,05800315e151
347,0580027dfecd
348,058001ea3800
349,05800322a2df
350,058001f6abec
351,058002ad0c0f
352,058002e49f33
353,058001e1588b
354,0580027dafad
355,0580027dce84
356,058002aac262
357,058002e45c79
358,058001615e4a
359,058001c56ed4
360,058002ad335c
361,05800300a378
362,0580030098db
363,058001b2d28f
364,058001c60bcb
365,05800323485b
366,0580024f59a4
367,058001f7366b
368,058002aa604e
369,058001e1b21d
370,058001e1013c
371,058001e1b37b
372,05800183c8f6
373,058001f76583
374,058002aab3ba
375,05800322ca07
376,0580027e0fc8
377,05800184155a
378,05800183dca0
379,0580027da33f
380,05800323b513
381,058001842f62
382,0580015ddba9
383,05800159e572
384,0580015cb500
385,05800161e0c3
386,0580016085d5
387,058001daf046
388,05800160fe91
389,058001526645
390,058001622d94
391,058001db3ea3
392,05800160d001
393,05800183fb6e
394,058001df8098
395,05800220b48e
396,058002e48992
397,058001856597
398,058002aace1c
399,058002e53935
400,058001dbcbff
401,05800185368b
402,05800323a4a0
403,05800184ef16
404,058001e12788
405,058001db980b
406,058002353a90
407,058002e4896d
408,05800183ad78
409,0580023e6649
410,0580018d267b
411,0580027e17a1
412,05800322ca8b
413,058002bc5f54
414,0580027d72a9
415,058003147bd7
416,058001f6edc6
417,058002bbd5f9
418,05800234fa13
419,058002bc71ec
420,058002bc86be
421,0580027dcc9b
422,058001c67daf
423,05800314f842
424,058002aa9d06
425,058001daf207
426,058003233922
427,05800152f80b
428,0580027e013f
429,058003231d8e
430,058001f7e790
431,0580022134b4
432,058002f614d5
433,058001dae669
434,05800183c65c
435,058003238d5c
436,058003235880
437,058001b2c3f9
438,058002fc0041
439,05800322d55c
440,058003239541
441,058002353e07
442,0580018528ae
443,05800161e319
444,0580027dd438
445,0580027dc681
446,05800234d437
447,05800323241f
448,058002352d86
449,0580027d002b
450,0580027dec3c
451,058002350942
452,058002e45c53
453,05800235250f
454,05800184e7be
455,05800184ff6a
456,058002aa65a0
457,0580018527f6
458,0580027d99cd
459,058001839d1d
460,0580027db39b
461,058003236d9d
462,05800300ce41
463,05800184eca9
464,05800323a689
465,058001f745c2
466,058001dae2db
467,05800163e3b4
468,05800323a873
469,058003239805
470,058003233639
471,0580015275c1
472,05800152b535
473,0580027db61f
474,058002bc736f
475,058001dca327
476,058001e118cc
477,058001855151
478,05800161efd5
479,058001db981c
480,0580027da285
481,058002358681
482,058002e4fc2e
483,058003018f6e
484,058003134990
485,058002a31585
486,05800184cbc0
487,05800153c522
488,058001b2d8d1
489,058002bca1c3
490,058001db2dc9
491,058001c7c5f5
492,058002fca41d
493,058002aaa483
494,0580015507e2
495,05800222135c
496,05800323064a
497,058001c5b3c4
498,058002216d7c
499,058001f6ea3f
500,058001c53d66
501,05800322f98f
502,058002e436c1
503,0580027daac1
504,058002e4db23
505,058001e0dfa1
506,058001db5f6b
507,0580027dae71
508,058001db18a6
509,0580027d7bcf
510,058002352f51
511,05800184daaf
512,058002e470f3
513,05800184dc9a
514,0580027da4cb
515,058003233954
516,0580018455f8
517,0580027e1185
518,0580015adfbf
519,058001db9360
520,05800238168e
521,0580015a28c0
522,05800221a4c6
523,0580027d9981
524,058001f7da1d
525,058002aaac57
526,058001f714f6
527,058001c767e9
528,058001e13e5f
529,058001db35f9
530,05800160d16e
531,058001e116e3
532,058002a321e9
533,058001e75d77
534,058001f85b81
535,058001f72b8c
536,05800234bff6
537,058001f726f9
538,05800315ae4d
539,058001e16519
540,05800183dd27
541,058001e0b4f0
542,058001851188
543,058002bc4993
544,058001855780
545,05800233aace
546,05800221ba2b
547,0580027d2f39
548,05800300d07c
549,058002e538fe
550,0580027d88d3
551,0580031649cc
552,05800183fab2
553,058001dab987
554,058001b29ab0
555,058002aa9b72
556,058001c6d45c
557,058001acbd2f
558,058001e10397
559,058002aa6c90
560,05800183ad6e
561,05800184f4d0
562,058002aac775
563,058002ad44e7
564,058002bcbcc8
565,05800234e240
566,0580027d7918
567,05800184f996
568,058001805b08
569,05800322f341
570,058001b30fa4
571,05800185346e
572,058001856e79
573,05800323050f
574,0580027dc917
575,05800323415b
576,058003235631
577,0580032380f8
578,058001f7d9d8
579,058002aaa1d8
580,058001548b74
581,058001db79e5
582,0580027db663
583,0580027e0def
584,058001dbc89f
585,058001855cfb
586,058001e10f7d
587,0580018519b7
588,058003009ee1
589,058002bbf46d
590,05800322c143
591,058002e449d5
592,05800184eef2
593,058002e49847
594,0580027d85b8
595,0580024f6428
596,058003167ffa
597,058001f84de9
598,05800221620d
599,05800185245b
600,05800184264b
601,0580018c2da8
602,0580024f693b
603,058002bc5f4d
604,058003152398
605,058002ab0694
606,05800183bf04
607,0580032385f1
608,0580027dff66
609,05800234a7dd
610,0580027e1132
611,05800323c869
612,058001c75eb3
613,058001b2af02
614,058001852f9f
615,05800322abed
616,0580023e2b03
617,058003229d86
618,058001db688d
619,058001db6461
620,058001f6b9f1
621,05800221b6a6
622,058001f71b6d
623,05800322b231
624,0580027db451
625,058002aac3a4
626,05800300e035
627,058003149be3
628,05800220f901
629,05800183dce1
630,058001b2c162
631,0580027d5fbf
632,058001f73796
633,058001c5b60e
634,05800154537d
635,05800183bed2
636,058002e49a53
637,058001db2e90
638,05800221430e
639,058002356025
640,05800184fc5f
641,0580023512ca
642,0580024f99f1
643,058001b2af12
644,0580023522e5
645,05800220bec3
646,058001f6a3e8
647,058001565feb
648,058001803b11
649,058001c5443c
650,058002e45dd9
651,058002ad1ef6
652,05800183f253
653,058001db935a
654,058001f71865
655,058001853f35
656,0580023e87a5
657,05800234dcd4
658,058001c6576f
659,058002bc5e9d
660,058001536996
661,0580023535c5
662,058001db255b
663,058001b2d0e5
664,058001b2baf5
665,058001db1bc5
666,0580023832b6
667,058001db2ba3
668,058002bbc3a3
669,05800323a85c
670,05800322e344
671,058001e9196f
672,058001854d0e
673,05800184fa58
674,058003154540
675,05800183b947
676,0580032347fa
677,0580027d8782
678,05800183eab8
679,058001dae35b
680,058001e8e88f
681,05800183d082
682,058001f711e5
683,058002354205
684,05800183eaa5
685,05800180ef45
686,0580027dc406
687,05800322d1e5
688,058001db1f9f
689,05800183dbc5
690,058002e4dc82
691,05800221b985
692,0580027d9d8a
693,058002fcc4de
694,05800234f5c6
695,0580032311fe
696,058001daf6cc
697,0580027d7a52
698,05800184e9f4
699,058001c634c9
700,058002aada35
701,058001e10c10
702,05800235522f
703,0580027e13e7
704,05800183f59b
705,058002bc8c09
706,058002aab5b8
707,05800151c70f
708,05800161dcf2
709,058001550720
710,058001550718
711,058001550ef1
712,0580015fa1c3
713,0580015aec0a
714,058001db670c
715,05800161e068
716,0580015c7093
717,058001549291
718,05800153cff2
719,05800152d9f4
720,0580015a0eea
721,058001db3b27
722,05800160cb90
723,0580016231ef
724,0580015d2627
725,0580015f880d
726,0580015298ed
727,058001622998
728,05800153124d
729,0580015c50f3
730,0580015f771a
731,05800158a9b2
732,058001617b87
733,0580015af531
734,0580015c9ee4
735,05800151ea63
736,0580015dfa7f
737,0580015c56fa
738,058001539d99
739,058001524754
740,0580015e0470
741,0580015504e3
742,058001550d1d
743,05800152b99f
744,0580015aaf7c
745,0580015fcab9
746,05800151c66f
747,0580015e1ca7
748,058001e7b148
749,058001e16949
750,058001c6226b
751,058001db5db2
752,058002bc261d
753,058002fbd9f6
754,058001b2d9ab
755,058002353328
756,0580027ddffa
757,058001f6f2e0
758,0580018569e2
759,058002fc7431
760,058001e11ee1
761,058003229cbb
762,058002e4bfa7
763,058001f6de7a
764,058001f6cb8f
765,058001f731f3
766,058001db886f
767,058002359b25
768,058001db485b
769,058001dadfb1
770,058001e190ad
771,058002ad33fb
772,0580027db55a
773,05800234f32c
774,058002aaf2f0
775,058002aa6a04
776,0580016153c5
777,0580015c74f0
778,05800160f0b6
779,0580027dad09
780,058002206139
781,058001c56696
782,05800184ffe0
783,058001f75e5a
784,0580027ddb8c
785,05800181e49f
786,0580027d7c96
787,05800183caa3
788,0580027db7d9
789,058002e4fe7b
790,058001621dc2
791,058001dafca4
792,0580032361ab
793,058002bcabe6
794,058001ea0ed9
795,058002a3474e
796,05800235a721
797,058002bcacf8
798,05800323a82c
799,058003230849
800,058001c5a80d
